Hyperparameter tuning for integer encoding with data /home/khaosdev/jMetalJava/jMetal/resources/fabia_100x1000.csv
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.4628270946, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5769900041, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.6956581342, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5402039778, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5413860130, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7259712020, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6778454752, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7331646051, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.6967712067, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.4427875956, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5532630794, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.7217793345, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6617004862, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.8288006293, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.8316637274, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.8124471075, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7856664349, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.7983508942, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.3957803275, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5413991513, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.6155197499, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.7282803264, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7159313189, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7741114373, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6867827007, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7503582780, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.7787981967, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5789697152, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5518833561, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5718437394, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5572094338, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5552735456, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5513186199, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5506533151, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5629646590, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.5427002340, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5978707262, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.6118613585, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.6442191878, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.7041339100, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7366430953, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7177160573, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6154672239, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.6985343539, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.7438348126, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.6087649821, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.6624151020, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.7574014931, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.7137542821, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6525000668, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7211571564, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7027385008, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7682597724, mutationProbability=0.010}
