Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,0,0.16434170014329788
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,1,0.1359481092649157
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,2,0.10299236148220664
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,3,0.11079935567760095
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,4,0.1369945512881907
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,5,0.11203551072659901
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,6,0.13278985617297567
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,7,0.15685569182293188
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,8,0.10545571508580545
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,9,0.17436724137797935
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,10,0.11873332854018923
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,11,0.14257943380424634
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,12,0.14026678237466675
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,13,0.12272219369561038
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,14,0.1448509577714648
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,15,0.1558282215974753
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,16,0.13109371233362208
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,17,0.1499884323326809
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,18,0.1153848910945543
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,19,0.13894215902995635
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,20,0.15255750891198094
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,21,0.12036656683185604
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,22,0.18604031503642487
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,23,0.12489005699051356
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,24,0.15414461073698515
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,0,0.14594971345321645
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,1,0.0913559889212335
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,2,0.1376662574610634
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,3,0.12469234886534071
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,4,0.10054540477083196
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,5,0.15439567014164296
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,6,0.1131618784448456
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,7,0.13208256931815135
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,8,0.11683544662796722
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,9,0.1259767096921199
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,10,0.11247230697734797
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,11,0.12448737874631839
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,12,0.11408549543224154
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,13,0.13550588408836306
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,14,0.11905801577494862
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,15,0.12641007523510575
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,16,0.1520195844305607
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,17,0.11795046558928068
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,18,0.16976407705570223
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,19,0.11365819098273564
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,20,0.15792711130480414
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,21,0.13570004802893987
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,22,0.11416281389450669
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,23,0.10766239648679257
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,24,0.10701868666054118
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,0,0.22782920904591497
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,1,0.20769085944512827
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,2,0.22646738866815244
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,3,0.23383289298501758
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,4,0.20540802085961526
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,5,0.28362393555665444
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,6,0.270440251572327
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,7,0.19496855345911943
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,8,0.1773147278506952
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,9,0.26196026109639586
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,10,0.250504379534268
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,11,0.25924613722026535
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,12,0.2594585465961772
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,13,0.2308207847798297
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,14,0.22425192332752458
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,15,0.2024691630664183
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,16,0.24342545217667538
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,17,0.25694669125899416
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,18,0.2075471698113208
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,19,0.19798754308398797
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,20,0.18058176480987556
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,21,0.28111888228653215
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,22,0.22726947472140221
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,23,0.24257253649727367
NSGAIIc,Multi Objective. Binary Encoding Biclustering,EP,24,0.24694441116812746
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,0,0.10970900537582443
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,1,0.10442994702365456
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,2,0.12950341137746318
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,3,0.09497697812441835
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,4,0.11083572478605547
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,5,0.10994488910543948
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,6,0.12114770781330693
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,7,0.11816862510549647
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,8,0.11320754716981132
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,9,0.12716947244952767
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,10,0.10043254726957578
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,11,0.14901992223205626
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,12,0.14378523780473862
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,13,0.18779039905546444
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,14,0.15060486420545516
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,15,0.11165245665484268
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,16,0.12597936223041054
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,17,0.1128761065423925
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,18,0.13387209948297796
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,19,0.16729757514269683
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,20,0.11387642149701353
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,21,0.11320231137338752
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,22,0.12433869704976261
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,23,0.11204625310975588
NSGAIId,Multi Objective. Binary Encoding Biclustering,EP,24,0.11933415804521229
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,0,0.7660132391200253
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,1,0.7836957822874532
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,2,0.8371122147720583
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,3,0.8015369428051478
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,4,0.7458609203410345
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,5,0.6892517148716837
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,6,0.7807096046073209
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,7,0.7759337764671569
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,8,0.7815928406591897
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,9,0.7029896118279911
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,10,0.8319239341312535
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,11,0.7687074732826952
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,12,0.801590847678834
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,13,0.7480466447760276
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,14,0.7817760865895266
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,15,0.827727920768993
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,16,0.7520416737270686
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,17,0.8312187632070829
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,18,0.7360118745968336
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,19,0.7646174930193625
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,20,0.755440174305352
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,21,0.6673080230180342
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,22,0.7916771585963901
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,23,0.7601707775931288
NSGAIIa,Multi Objective. Binary Encoding Biclustering,SP,24,0.7755771121026124
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,0,0.7363370371929124
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,1,0.6859480495055119
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,2,0.6670883835813805
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,3,0.7887244468898114
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,4,0.805772012623436
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,5,0.6850375999541173
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,6,0.7882238268962829
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,7,0.8194745726962949
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,8,0.7440409528186769
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,9,0.8135266944311506
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,10,0.8512503521370446
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,11,0.7593066408012648
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,12,0.7596310470901184
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,13,0.6647391004995727
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,14,0.7848132482967762
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,15,0.7416912055955059
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,16,0.8015645351291664
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,17,0.7370630248595312
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,18,0.7541956311802905
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,19,0.8206512358499409
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,20,0.7000217023014592
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,21,0.7824967969168642
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,22,0.8376432249914261
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,23,0.8053678997552696
NSGAIIb,Multi Objective. Binary Encoding Biclustering,SP,24,0.6673651091362813
NSGAIIc,Multi Objective. Binary Encoding Biclustering,SP,0,0.6067325817341304
NSGAIIc,Multi Objective. Binary Encoding Biclustering,SP,1,0.717680869477145
NSGAIIc,Multi Objective. Binary Encoding Biclustering,SP,2,0.6583395762422152
NSGAIIc,Multi Objective. Binary Encoding Biclustering,SP,3,0.639187878385032
NSGAIIc,Multi Objective. Binary Encoding Biclustering,SP,4,0.6189343940050523
NSGAIIc,Multi Objective. Binary Encoding Biclustering,SP,5,0.6687230123012473
NSGAIIc,Multi Objective. Binary Encoding Biclustering,SP,6,0.688170466487235
NSGAIIc,Multi Objective. Binary Encoding Biclustering,SP,7,0.6959040017709118
NSGAIIc,Multi Objective. Binary Encoding Biclustering,SP,8,0.566704776409639
NSGAIIc,Multi Objective. Binary Encoding Biclustering,SP,9,0.5913709071080042
