Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,0,0.11219808322259207
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,1,0.09239055254993703
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,2,0.09949067293359115
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,3,0.15600794753875255
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,4,0.14169097331685548
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,5,0.08647756453037281
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,6,0.16623493839378986
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,7,0.13991371386681462
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,8,0.12683874726045066
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,9,0.16502973254554612
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,10,0.11043479244268668
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,11,0.13486387580065032
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,12,0.12692255254329468
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,13,0.10449905159053213
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,14,0.09804653543215733
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,15,0.10683859356797623
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,16,0.1589047524890498
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,17,0.19518939562813306
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,18,0.10062893081761015
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,19,0.10769771008272694
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,20,0.12260382849115813
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,21,0.13656307683920973
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,22,0.08957566958282098
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,23,0.11949685534591203
NSGAIIa,Multi Objective. Binary Encoding Biclustering,EP,24,0.13502184146467142
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,0,0.13821304866201387
NSGAIIb,Multi Objective. Binary Encoding Biclustering,EP,1,0.11945263056021388
