Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,0,0.05428571428571419
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,1,0.0948948964912873
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,2,0.06761882757468471
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,3,0.08530779209865802
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,4,0.058050151718560095
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,5,0.0712084577064922
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,6,0.06916859302594686
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,7,0.10191469763479966
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,8,0.060614330192356625
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,9,0.07730365280481905
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,10,0.06716157182599822
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,11,0.07466489839906824
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,12,0.0674828941841677
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,13,0.06192636014097708
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,14,0.09793778955028565
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,15,0.0691110622028755
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,16,0.08851420825843742
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,17,0.06445406791175468
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,18,0.0592832199825597
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,19,0.10192775792340791
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,20,0.10908042503808763
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,21,0.062378397866745705
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,22,0.05929287683354245
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,23,0.0715850508690168
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,24,0.06693209859751437
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,0,0.06499999999999999
