Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,0,0.08930021328041665
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,1,0.060603256627851626
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,2,0.05606745584709555
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,3,0.09830208243401449
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,4,0.06730428300485713
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,5,0.059285714285714275
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,6,0.0779261387049483
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,7,0.10060614626726411
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,8,0.05762961557156643
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,9,0.06352590419998294
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,10,0.07046388170818829
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,11,0.099801504620815
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,12,0.05710888104669132
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,13,0.07087798826953978
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,14,0.07268386339431818
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,15,0.06083847629798084
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,16,0.07006993705150916
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,17,0.08283808591673458
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,18,0.0845195697910402
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,19,0.08030311820025476
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,20,0.05912230703761362
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,21,0.061751795420101174
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,22,0.07058272144270811
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,23,0.06900623097644648
NSGAIIa,Multi Objective Integer Encoding Biclustering,EP,24,0.08287078175991647
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,0,0.08544265424007619
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,1,0.0832148053417271
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,2,0.058559883329087015
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,3,0.08144096543557222
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,4,0.06791931065514051
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,5,0.10334219208833095
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,6,0.09080369108032826
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,7,0.0735839745473202
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,8,0.06837076895473315
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,9,0.10065780759217291
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,10,0.07589782947146591
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,11,0.0948841336357244
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,12,0.08951416046972022
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,13,0.0967544997476803
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,14,0.0899290232282563
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,15,0.07448429742202223
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,16,0.06672708437297453
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,17,0.12254262389675274
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,18,0.06735538607651331
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,19,0.08055294610195535
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,20,0.09649481847480057
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,21,0.0837987926204497
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,22,0.09987124885081405
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,23,0.0969750135406896
NSGAIIb,Multi Objective Integer Encoding Biclustering,EP,24,0.06537535784212628
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,0,0.08340077015947361
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,1,0.07415456207612364
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,2,0.09306912085594521
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,3,0.057835024538732904
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,4,0.06840528474740104
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,5,0.05536722101152236
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,6,0.0577019321974786
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,7,0.10824105158923952
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,8,0.08319173158300341
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,9,0.08234998961458811
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,10,0.08938425983269432
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,11,0.08003728627420523
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,12,0.08206781145255754
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,13,0.06369696364034684
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,14,0.08390064040449852
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,15,0.11683387426143804
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,16,0.09678218191159149
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,17,0.10387376345812521
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,18,0.06296544392910387
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,19,0.08265247435429335
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,20,0.06396880159793705
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,21,0.07057875974574385
